invoice_ref,vendor_id,customer_id,company_code,invoice_date,posting_date,baseline_date,currency,gross_amount,tax_amount,tax_code,gl_account,cost_centre,profit_centre,payment_terms,reference,header_text,assignment,item_text
INV-2025-02421,V1013,C2010,1000,2025-08-23,2025-08-26,2025-08-25,EUR,71413.17,10711.98,V1,600100,CC1050,PC2000,ZN30,PO-89405,"Marketing materials",HR-ONBOARD,"Progress billing"
INV-2025-02422,V1013,C2003,3000,2025-04-24,2025-04-27,2025-04-26,CHF,190089.94,9504.50,V2,400300,CC1040,PC3000,ZB01,PO-83361,"Reception services",PROJECT-EPSILON,"Final settlement"
INV-2025-02423,V1020,C2012,1000,2025-10-22,2025-10-24,2025-10-23,GBP,29557.85,4433.68,V2,700100,CC1030,PC3000,ZN45,PO-83032,"Network infrastructure",PROJECT-BETA,"One-time purchase"
INV-2026-02424,V1013,C2005,4000,2026-02-24,2026-02-26,2026-02-24,SGD,113017.24,11301.72,A1,700100,CC3020,PC3000,ZN90,PO-83366,"Legal advisory",MAINT-Q1,"Volume discount"
INV-2025-02425,V1018,C2001,3000,2025-04-17,2025-04-20,2025-04-20,CHF,129711.83,6485.59,A2,700200,CC2020,PC2000,ZN90,PO-97069,"Network infrastructure",MAINT-Q3,"Quarterly invoice"
INV-2026-01718,V1007,C2007,3000,2025-01-20,2025-01-25,2025-01-20,USD,492728.32,0.00,V0,400400,CC2030,PC3000,ZN14,PO-91769,"Equipment rental",R&D-PHASE2,"Retainer fee"
INV-2025-02427,V_UNKNOWN,,3000,2025-08-20,2025-08-20,2025-08-21,AUD,24261.04,3639.16,V2,000000,CC0000,PC2000,ZB01,PO-89731,"Annual licence renewal",R&D-PHASE2,"One-time purchase"
INV-2025-02428,V1002,C2006,3000,2025-09-01,2025-09-04,2025-09-02,EUR,258668.09,12933.40,V1,600200,CC2020,PC2003,ZN90,PO-82592,"HVAC maintenance",PROJECT-ALPHA,"Partial delivery"
INV-2025-02429,V1011,C2004,1000,2025-08-14,2025-08-17,2025-08-15,AUD,409812.36,81962.47,A2,600200,CC2020,PC2003,ZB02,PO-87393,"Mail handling",MAINT-Q3,"Scheduled maintenance"
INV-2025-02430,V1016,C2004,3000,2025-07-25,2025-07-26,2025-07-28,AUD,482946.02,33806.22,V1,500200,CC2010,PC3001,ZN14,PO-85486,"Cleaning services 2025-07",IT-REFRESH,"Final settlement"
INV-2025-02431,V1012,C2005,3000,2025-05-13,2025-05-13,2025-05-13,SGD,399614.23,27973.00,A2,400300,CC3020,PC2000,ZN60,,"Parking management",PROJECT-ETA,"Emergency repair"
INV-2025-02432,V1010,C2012,2000,2025-02-12,2025-02-12,2025-02-14,SGD,321675.33,16083.77,A2,400500,CC2020,PC2000,ZN90,PO-85892,"Cloud hosting fees",MAINT-Q2,"Advance payment"
INV-2025-02433,V1003,C2013,2000,2025-07-30,2025-08-04,2025-07-31,AUD,103839.13,0.00,V0,400100,CC2020,PC3000,ZN14,PO-88246,"Temporary staffing",MKT-CAMPAIGN,"Project milestone payment"
INV-2025-02434,V_UNKNOWN,C0000,1000,2025-02-23,2025-02-24,2025-02-23,SGD,367717.14,0.00,V0,000000,CC0000,PC2001,ZN14,PO-81817,"Water treatment",PROJECT-DELTA,"Emergency repair"
INV-2025-02435,V1002,C2013,4000,2025-08-23,2025-08-23,2025-08-23,GBP,236975.89,11848.79,A2,600200,CC2020,PC2002,ZB02,PO-94232,"Travel expenses 2025-08",PROJECT-BETA,"Partial delivery"
INV-2025-02436,V1015,C2004,4000,2025-04-29,2025-05-01,2025-04-29,SGD,352556.74,17627.84,A1,400500,CC1040,PC2000,ZN90,PO-87339,"Annual licence renewal 2025-04",MKT-CAMPAIGN,"Advance payment"
INV-2026-02437,V1010,C2004,4000,2026-02-14,2026-02-15,2026-02-17,GBP,256199.21,38429.88,V2,500300,CC1030,PC2002,ZN45,PO-85828,"Fire safety inspection",MAINT-Q1,"Volume discount"
INV-2025-02438,V1015,C2003,4000,2025-11-30,2025-12-02,2025-12-03,CHF,172102.45,0.00,V0,600200,CC2010,PC3000,ZN90,PO-96846,"Subscription fees 2025-11",MAINT-Q3,"Phase 2 delivery"
INV-2025-02439,VXXX,C2008,3000,2025-11-01,2025-11-03,2025-11-04,GBP,467999.28,23399.96,A2,,CC_INVALID,PC2000,,PO-80328,"Temporary staffing 2025-11",PROJECT-ALPHA,"Quarterly invoice"
INV-2025-02440,V1009,C2003,4000,2025-08-01,2025-08-04,2025-08-03,JPY,286233.80,14311.69,A1,400400,CC1030,PC4000,ZN45,PO-81614,"Catering services",IT-REFRESH,"Phase 2 delivery"
INV-2025-02441,V1016,C2008,2000,2025-07-29,2025-08-01,2025-07-31,SGD,216354.56,15144.82,A1,400500,CC3020,PC2002,ZB01,PO-82095,"Safety equipment",MAINT-Q4,"Emergency repair"
,V1011,C2010,1000,2026-02-18,2026-02-23,2026-02-19,EUR,192772.35,0.00,V0,600100,CC1050,PC2001,ZB02,PO-94579,"Consulting services",PROJECT-GAMMA,"Retainer fee"
INV-2026-02443,V1014,C2003,1000,2026-01-14,2026-01-18,2026-01-15,JPY,126429.47,12642.95,V2,400200,CC2030,PC2002,ZB02,PO-92005,"Safety equipment",MAINT-Q1,"Partial delivery"
INV-2025-02444,V1016,C2005,2000,2025-07-24,2025-07-24,2025-07-27,CAD,350452.44,35045.24,V1,700200,CC2020,PC3000,ZN14,PO-80140,"Fire safety inspection",MKT-CAMPAIGN,"Volume discount"
INV-2025-02445,V1013,C2009,2000,2025-10-29,2025-10-31,2025-10-29,CHF,359247.21,17962.36,A1,500200,CC3020,PC2001,ZB02,PO-97020,"Energy costs 2025-10",PROJECT-ALPHA,"Rework charges"
INV-2025-02446,V1019,C2013,1000,2025-08-09,2025-08-14,2025-08-09,USD,47442.38,2372.12,V3,500100,CC1030,PC3001,ZB01,PO-97820,"Research materials 2025-08",PROJECT-THETA,"Debit note"
INV-2025-02447,V1001,C2004,2000,2025-12-18,2025-12-23,2025-12-20,CHF,186722.62,37344.52,A2,400100,CC3020,PC3000,,PO-98888,"Telecommunications",MAINT-Q3,"Partial delivery"
INV-2025-02448,V1018,C2013,1000,2025-10-31,2025-11-01,2025-11-02,CAD,322587.26,32258.73,V3,500100,CC2010,PC4000,ZN60,PO-93529,"Waste disposal",MKT-CAMPAIGN,"Standard order"
INV-2026-02449,V1008,C2001,4000,2026-03-03,2026-03-03,2026-03-03,EUR,401211.18,40121.12,V2,400400,CC2020,PC3000,,PO-95073,"Audit fees 2026-03",MKT-CAMPAIGN,"Early payment discount"
INV-2025-02450,V1015,C2006,2000,2025-10-22,2025-10-24,2025-10-24,EUR,61014.63,0.00,V0,400400,CC3010,PC4000,ZB02,PO-92420,"Vehicle leasing",PROJECT-DELTA,"Commission payment"
INV-2025-02451,V1014,C2011,2000,2025-04-18,2025-04-19,2025-04-18,GBP,290032.16,20302.25,A1,700100,CC2010,PC2001,ZN90,PO-87543,"Legal advisory",R&D-PHASE2,"Partial delivery"
INV-2025-02452,V1018,C2010,1000,2025-12-25,2025-12-26,2025-12-26,AUD,463995.40,46399.54,A1,700200,CC1050,PC2003,ZN90,,"Research materials",MAINT-Q2,"Scheduled maintenance"
INV-2025-02453,V1016,C2008,1000,2025-07-02,2025-07-03,2025-07-04,JPY,251027.54,0.00,V0,500100,CC2030,PC2001,ZN30,PO-85743,"Printing costs",R&D-PHASE2,"Service completion"
INV-2025-02454,V1003,C2009,3000,2025-07-04,2025-07-07,2025-07-05,AUD,31537.88,1576.89,A1,500100,CC1050,PC2002,ZN60,PO-86093,"Equipment rental 2025-07",MAINT-Q3,"Quarterly invoice"
INV-2025-02455,V1012,C2005,3000,2025-01-16,2025-01-16,2025-01-18,SGD,395336.75,19766.84,V2,400300,CC2010,PC3000,ZN45,PO-93219,"Temporary staffing",MKT-CAMPAIGN,"Phase 1 delivery"
INV-2026-02456,V1003,C2004,3000,2026-01-21,2026-01-23,2026-01-22,USD,392774.81,78554.96,V2,600100,CC1010,PC3001,ZN60,PO-95284,"Safety equipment",IT-REFRESH,"Commission payment"
INV-2026-02457,V1019,C2001,1000,2026-03-29,2026-04-01,2026-03-29,AUD,58857.30,11771.46,A1,400100,CC1040,PC3000,ZN30,PO-81736,"Elevator servicing",HR-ONBOARD,"Early payment discount"
INV-2025-02458,V1002,C2009,4000,2025-07-19,2025-07-24,2025-07-19,SGD,346690.86,24268.36,V2,400100,CC1010,PC2000,ZB02,PO-87381,"Mail handling",PROJECT-DELTA,"Retainer fee"
INV-2026-02459,V1019,C2007,4000,2026-01-26,2026-01-30,2026-01-29,GBP,466549.88,23327.49,V3,500200,CC1040,PC4000,ZN30,PO-87251,"Network infrastructure",MAINT-Q3,"Annual renewal"
INV-2025-02460,V1015,C2015,1000,2025-10-01,2025-10-01,2025-10-04,AUD,494928.27,34644.98,V1,500200,CC2030,,ZN60,PO-86848,"Landscaping",PROJECT-BETA,"Rework charges"
INV-2025-02461,V1005,C2011,4000,2025-04-25,2025-04-27,2025-04-26,AUD,141998.53,14199.85,V1,600100,CC2030,PC2001,ZN60,PO-88783,"Cleaning services",PROJECT-THETA,"Progress billing"
INV-2025-02462,V1010,C2001,3000,2025-02-11,2025-02-15,2025-02-14,CHF,369265.43,0.00,V0,400100,CC1020,PC2002,ZN30,PO-92870,"Office supplies 2025-02",HR-ONBOARD,"Emergency repair"
INV-2025-02463,V1010,C2002,1000,2025-11-15,2025-11-17,2025-11-16,GBP,69354.22,13870.84,V2,400200,CC1010,PC2002,ZN90,PO-88399,"Recruitment costs 2025-11",OPEX-2026,"Debit note"
INV-2025-02464,V1001,C2008,2000,2025-01-02,2025-01-04,2025-01-03,CAD,96788.02,14518.20,V1,500200,CC2020,,ZN60,PO-80208,"Insurance premium",R&D-PHASE1,"Project milestone payment"
INV-2026-02465,V_UNKNOWN,C9999,9999,2026-03-27,2026-03-29,2026-03-29,USD,483673.07,0.00,V0,999999,CCXXX,PC2000,ZN90,,"Equipment rental",R&D-PHASE1,"Emergency repair"
INV-2026-02466,V1010,C2006,3000,2026-03-02,2026-03-05,2026-03-04,CAD,230070.55,16104.94,V2,700100,CC2020,,ZN45,PO-99955,"Equipment rental",PROJECT-GAMMA,"Credit note adjustment"
INV-2025-02467,V1019,C2012,3000,2025-10-27,2025-10-31,2025-10-29,SGD,409639.44,28674.76,A1,600100,CC1030,PC4000,ZN90,PO-94183,"Staff training",FACILITIES,"Advance payment"
INV-2025-02468,V1015,C2005,3000,2025-12-13,2025-12-17,2025-12-16,GBP,54227.01,8134.05,V3,400100,CC3010,PC2002,ZN30,,"Facilities maintenance",MAINT-Q2,"One-time purchase"
INV-2025-02469,V1004,C2012,2000,2025-01-27,2025-01-30,2025-01-29,CAD,158617.04,0.00,V0,700200,CC2020,PC2001,ZN90,PO-95031,"Staff training",MAINT-Q2,"Rebate claim"
INV-2026-02470,VXXX,,,2026-01-27,2026-01-30,2026-01-27,CHF,423806.39,84761.28,V1,,CC0000,PC2001,ZN90,PO-84064,"Landscaping 2026-01",HR-ONBOARD,"Service completion"
INV-2026-02471,V1020,C2006,1000,2026-03-01,2026-03-03,2026-03-04,JPY,341517.04,0.00,V0,600200,CC2030,PC2003,ZN14,PO-97663,"Printing costs",MAINT-Q3,"Annual renewal"
INV-2025-02472,V1017,C2002,2000,2025-02-18,2025-02-22,2025-02-19,USD,264124.32,18488.70,A1,400500,CC1020,PC3001,ZN60,,"Cloud hosting fees",PROJECT-ALPHA,"One-time purchase"
INV-2025-02473,V_UNKNOWN,C9999,,2025-01-16,2025-01-16,2025-01-17,USD,165616.10,0.00,V0,000000,CC0000,PC3000,ZB02,PO-89870,"Recruitment costs",MKT-CAMPAIGN,"Partial delivery"
INV-2025-02474,V1012,C2012,2000,2025-12-11,2025-12-13,2025-12-14,USD,224412.46,22441.25,V3,500300,CC1050,PC2000,ZN90,PO-92729,"Office supplies 2025-12",MAINT-Q2,"Quality inspection"
INV-2025-02475,V1010,C2012,4000,2025-01-21,2025-01-22,2025-01-21,CHF,498071.92,74710.79,A2,400400,CC2010,PC3000,ZB01,PO-86614,"Printing costs",PROJECT-ETA,"Volume discount"
INV-2025-02476,V1011,C2014,2000,2025-06-01,2025-06-03,2025-06-01,SGD,435329.93,30473.10,V2,400300,CC2020,PC2001,ZN60,PO-81370,"Lab equipment 2025-06",PROJECT-EPSILON,"Early payment discount"
INV-2025-02477,V1007,C2001,2000,2025-08-15,2025-08-18,2025-08-15,JPY,153175.64,7658.78,V1,700100,CC1020,PC2002,ZB02,PO-82217,"Telecommunications 2025-08",R&D-PHASE2,"Scheduled maintenance"
INV-2025-02478,,C9999,9999,2025-05-29,2025-05-31,2025-05-29,GBP,380545.68,26638.20,V2,999999,CC0000,PC2001,ZB02,PO-85782,"Staff training",R&D-PHASE1,"Partial delivery"
,V1020,C2013,4000,2025-06-01,2025-06-02,2025-06-02,SGD,54080.16,5408.02,A1,600100,CC1020,PC2000,,,"Research materials",MAINT-Q1,"Ad-hoc request"
INV-2026-02480,V1006,C2010,1000,2026-01-03,2026-01-03,2026-01-04,EUR,256237.26,51247.45,V2,500100,CC3020,PC3001,ZB02,PO-88618,"Facilities maintenance",PROJECT-DELTA,"Rebate claim"
INV-2025-02481,VXXX,C0000,9999,2025-02-08,2025-02-08,2025-02-11,AUD,85516.35,0.00,V0,,,PC4000,,PO-82658,"Network infrastructure",PROJECT-EPSILON,"Progress billing"
INV-2025-02482,V1020,C2001,2000,2025-09-07,2025-09-12,2025-09-08,SGD,342644.70,34264.47,V3,700100,CC1020,PC3001,ZB02,PO-88581,"Water treatment",PROJECT-ETA,"Blanket PO release"
INV-2025-02483,V1014,C2001,2000,2025-04-14,2025-04-16,2025-04-16,AUD,120803.36,8456.24,A2,400300,CC2010,PC2001,ZN90,PO-82271,"Professional services 2025-04",CAPEX-2026,"Progress billing"
INV-2025-02484,V1019,C2012,4000,2025-07-08,2025-07-08,2025-07-10,AUD,23513.33,0.00,V0,500300,CC2030,PC2001,ZN45,PO-91586,"Contractor payments",R&D-PHASE1,"Retainer fee"
INV-2025-02485,V1015,C2006,2000,2025-06-25,2025-06-25,2025-06-26,EUR,117375.52,8216.29,A1,400200,CC2030,PC2002,ZB01,PO-80953,"Facilities maintenance",PROJECT-ZETA,"Scheduled maintenance"
INV-2025-02486,V1013,C2009,1000,2025-07-21,2025-07-26,2025-07-22,GBP,108020.33,21604.07,V2,500200,CC2020,PC2000,ZN30,PO-88821,"Cleaning services 2025-07",PROJECT-THETA,"Standard order"
INV-2025-02487,V1018,C2006,3000,2025-07-11,2025-07-12,2025-07-12,CHF,8899.35,0.00,V0,500300,CC1030,PC4000,ZB02,PO-82703,"Software licences",MAINT-Q2,"Volume discount"
INV-2025-02488,V1001,C2011,4000,2025-12-11,2025-12-11,2025-12-11,SGD,420548.15,0.00,V0,400300,CC1010,PC2003,,,"Waste disposal",PROJECT-BETA,"Early payment discount"
INV-2026-01973,V1019,C2002,1000,2025-06-22,2025-06-22,2025-06-25,CHF,349636.00,24474.52,V3,400200,CC1020,PC2001,ZN45,PO-83625,"Contractor payments 2025-06",PROJECT-EPSILON,"Emergency repair"
INV-2025-02490,V1007,C2004,1000,2025-08-20,2025-08-22,2025-08-22,JPY,49837.54,3488.63,A1,400100,CC2010,PC4000,ZB02,PO-99785,"Subscription fees 2025-08",MAINT-Q4,"Debit note"
INV-2026-02491,V1014,C2014,1000,2026-03-14,2026-03-19,2026-03-16,USD,136772.19,6838.61,A2,500200,CC3020,PC2000,ZN90,PO-88835,"Server equipment 2026-03",CAPEX-2026,"Full delivery"
INV-2026-02492,V1003,C2014,1000,2026-02-28,2026-02-28,2026-03-01,GBP,128399.11,12839.91,A2,400400,CC2020,PC2001,ZB01,PO-84076,"Equipment rental",PROJECT-EPSILON,"Scheduled maintenance"
INV-2025-02493,V1009,C2012,1000,2025-04-24,2025-04-27,2025-04-26,GBP,374229.41,26196.06,A2,400400,CC3020,PC2002,ZN90,PO-95590,"Facilities maintenance",FACILITIES,"Scheduled maintenance"
INV-2025-02494,V1003,C2013,2000,2025-02-08,2025-02-11,2025-02-09,USD,297662.79,0.00,V0,500100,CC2020,PC3001,ZB01,PO-83064,"Printing costs",CAPEX-2026,"Late delivery penalty"
INV-2025-02495,V1019,C2001,1000,2025-06-10,2025-06-15,2025-06-11,AUD,239853.41,35978.01,A2,500300,CC1040,,,,"Temporary staffing",PROJECT-THETA,"Early payment discount"
INV-2025-02496,V1010,C2006,4000,2025-10-13,2025-10-15,2025-10-16,JPY,214396.78,10719.84,V2,400500,CC3020,PC2000,,PO-80158,"Professional services",R&D-PHASE1,"Scheduled maintenance"
INV-2026-02497,V1005,C2003,4000,2026-02-19,2026-02-23,2026-02-22,GBP,489058.49,24452.92,V1,700200,CC1020,PC3000,ZB01,PO-96622,"Vehicle leasing 2026-02",PROJECT-EPSILON,"Early payment discount"
INV-2025-02498,V1009,C2005,3000,2025-09-20,2025-09-25,2025-09-22,JPY,391902.14,19595.11,V1,400100,CC1050,PC2000,ZN90,PO-94244,"Printing costs",IT-REFRESH,"Phase 2 delivery"
INV-2026-02499,V1004,C2011,4000,2026-03-22,2026-03-23,2026-03-25,GBP,211482.88,14803.80,A2,700200,CC3020,PC2003,ZN60,PO-82108,"Courier services 2026-03",PROJECT-ETA,"Project milestone payment"
INV-2025-02500,V1018,C2002,4000,2025-12-02,2025-12-04,2025-12-04,JPY,291162.72,20381.39,A1,600200,CC1010,PC2002,ZN14,PO-99431,"Telecommunications",CAPEX-2026,"Ad-hoc request"
INV-2025-02501,V1013,C2003,4000,2025-01-13,2025-01-17,2025-01-14,AUD,54881.18,3841.68,A2,400100,CC1010,PC2003,,PO-90696,"Landscaping",MAINT-Q2,"Progress billing"
INV-2025-02502,V1010,C2001,1000,2025-02-01,2025-02-04,2025-02-01,CHF,9898.89,494.94,A2,500200,CC2020,PC2000,ZN90,PO-84516,"Reception services",PROJECT-ZETA,"Late delivery penalty"
INV-2025-02503,V1004,C2003,3000,2025-01-29,2025-01-29,2025-01-30,USD,452003.91,22600.20,A1,600100,CC2010,PC3001,ZB02,PO-88762,"Fire safety inspection 2025-01",MAINT-Q4,"Rebate claim"
INV-2025-02504,V1011,C2011,2000,2025-07-16,2025-07-18,2025-07-19,GBP,430717.32,0.00,V0,500200,CC2030,,ZN14,PO-83647,"Cloud hosting fees",IT-REFRESH,"Progress billing"
INV-2025-02505,V1009,C2002,2000,2025-02-04,2025-02-04,2025-02-04,JPY,20390.32,1427.32,V1,600200,CC3020,PC2002,ZB02,PO-89789,"Research materials",IT-REFRESH,"Annual renewal"
INV-2026-02506,V1009,C2007,3000,2026-03-04,2026-03-08,2026-03-04,GBP,60914.30,0.00,V0,600200,CC2010,PC2003,ZB01,PO-95369,"Legal advisory",MAINT-Q2,"Annual renewal"
INV-2025-02507,V1016,C2011,2000,2025-11-08,2025-11-09,2025-11-11,EUR,309951.48,30995.15,V1,700200,CC2010,PC2002,ZB02,PO-98446,"Hardware procurement 2025-11",OPEX-2026,"Advance payment"
INV-2025-02508,V1011,C2007,1000,2025-07-07,2025-07-07,2025-07-07,SGD,435040.59,0.00,V0,400300,CC1030,,ZN90,PO-86880,"Marketing materials",OPEX-2026,"Standard order"
INV-2026-02509,V1004,C2011,4000,2026-03-24,2026-03-28,2026-03-24,CHF,322051.80,22543.63,V2,500300,CC1010,PC3001,ZB01,PO-82714,"Staff training 2026-03",PROJECT-ETA,"Scheduled maintenance"
INV-2026-02510,V1012,C2011,1000,2026-01-31,2026-02-02,2026-02-03,JPY,427736.73,0.00,V0,400100,CC1010,PC2002,ZN45,PO-86918,"Subscription fees",MAINT-Q1,"Rebate claim"
,V1003,C2010,3000,2025-12-20,2025-12-21,2025-12-20,EUR,213812.62,10690.63,V1,600100,CC2020,,,PO-96618,"Mail handling",MAINT-Q1,"Monthly service fee"
INV-2025-02512,V1016,C2005,4000,2025-08-19,2025-08-21,2025-08-20,CAD,447907.29,31353.51,V3,700200,CC1050,PC2002,ZB02,PO-96812,"Security services",MAINT-Q2,"Full delivery"
INV-2026-02513,V1016,C2003,2000,2026-01-08,2026-01-08,2026-01-11,CAD,352069.35,70413.87,V3,400100,CC2010,PC2003,,PO-98609,"Legal advisory",R&D-PHASE1,"Phase 2 delivery"
INV-2025-02514,V1017,C2010,1000,2025-05-10,2025-05-13,2025-05-11,GBP,15275.31,0.00,V0,600100,CC1010,,ZB01,PO-99743,"Water treatment 2025-05",PROJECT-ALPHA,"Ad-hoc request"
INV-2025-02515,V1001,C2009,1000,2025-02-16,2025-02-20,2025-02-16,SGD,78444.48,15688.90,V2,400500,CC1030,PC2003,ZN14,PO-91572,"Insurance premium",OPEX-2026,"Ad-hoc request"
,V1002,C2008,1000,2025-02-16,2025-02-16,2025-02-19,JPY,382628.39,26783.99,A1,400300,CC3020,PC2001,ZN90,PO-89679,"Consulting services",PROJECT-BETA,"Rework charges"
INV-2026-02517,V1003,C2012,4000,2026-02-01,2026-02-03,2026-02-01,SGD,45814.37,0.00,V0,700100,CC3010,PC2000,ZN30,PO-86213,"HVAC maintenance 2026-02",PROJECT-BETA,"Project milestone payment"
INV-2025-02518,V1011,C2013,4000,2025-07-03,2025-07-04,2025-07-06,USD,62950.75,3147.54,V3,500100,CC2010,,ZB02,PO-89016,"Lab equipment 2025-07",PROJECT-EPSILON,"Full delivery"
INV-2025-02519,V1015,C2002,2000,2025-03-25,2025-03-30,2025-03-26,USD,360747.74,18037.39,V3,500200,CC1010,PC2000,ZN30,PO-95178,"Hardware procurement",PROJECT-GAMMA,"Quality inspection"
INV-2025-02520,V1017,C2004,3000,2025-07-02,2025-07-02,2025-07-04,USD,307636.07,30763.61,A1,500300,CC2020,PC4000,ZN45,PO-94491,"Landscaping 2025-07",CAPEX-2026,"Rework charges"
INV-2026-02521,V1009,C2002,2000,2026-03-02,2026-03-03,2026-03-02,AUD,228310.28,0.00,V0,400300,CC1010,PC3000,ZN90,PO-91955,"Fire safety inspection",MAINT-Q4,"One-time purchase"
INV-2026-02522,V1016,C2003,1000,2026-03-16,2026-03-16,2026-03-16,CHF,434842.55,86968.51,A1,600200,CC1040,PC4000,ZN90,PO-86166,"Professional services 2026-03",PROJECT-DELTA,"Full delivery"
INV-2025-02523,V1017,C2011,4000,2025-09-06,2025-09-10,2025-09-06,AUD,369403.45,55410.52,V2,600200,CC2020,PC3001,ZB02,PO-81788,"Data centre costs",PROJECT-BETA,"One-time purchase"
INV-2025-02524,V1002,C2004,3000,2025-10-03,2025-10-05,2025-10-06,JPY,224671.96,0.00,V0,700200,CC1030,PC2003,ZN30,,"Facilities maintenance 2025-10",MAINT-Q4,"Volume discount"
INV-2025-02525,V1003,C2001,3000,2025-11-18,2025-11-19,2025-11-20,CHF,27865.89,1950.61,A2,600100,CC2010,PC2000,ZN45,PO-93578,"Telecommunications 2025-11",FACILITIES,"Service completion"
INV-2025-02526,V1014,C2014,3000,2025-12-10,2025-12-12,2025-12-11,JPY,342150.30,34215.03,A1,400300,CC3010,,ZN90,PO-80581,"Subscription fees",PROJECT-BETA,"Retainer fee"
INV-2025-02527,V1009,C2012,3000,2025-04-10,2025-04-13,2025-04-10,SGD,281988.43,19739.19,A2,700100,CC2010,PC2003,ZN60,PO-85883,"Staff training",MKT-CAMPAIGN,"Annual renewal"
INV-2025-02528,V1001,C2011,4000,2025-01-09,2025-01-09,2025-01-10,USD,276199.84,19333.99,A1,700200,CC1030,PC4000,ZN60,PO-80015,"Office supplies",MAINT-Q4,"Full delivery"
INV-2025-02529,V1012,C2011,3000,2025-03-28,2025-04-02,2025-03-29,EUR,6714.43,671.44,A1,400400,CC2030,PC2001,ZN60,PO-80986,"Mail handling",MAINT-Q1,"Debit note"
INV-2025-02530,V1003,C2007,2000,2025-10-20,2025-10-25,2025-10-21,SGD,90955.85,0.00,V0,500200,CC1030,,ZN60,PO-89277,"Audit fees",HR-ONBOARD,"Partial delivery"
INV-2025-02531,V1001,C2008,2000,2025-05-03,2025-05-05,2025-05-06,GBP,317651.99,0.00,V0,400200,CC1050,PC2000,,PO-87226,"Waste disposal",PROJECT-GAMMA,"Scheduled maintenance"
INV-2025-02532,V1017,C2003,4000,2025-03-12,2025-03-12,2025-03-12,GBP,238883.28,35832.49,V2,700100,CC3020,PC2002,ZN45,PO-89180,"HVAC maintenance",PROJECT-EPSILON,"Commission payment"
INV-2026-01125,V1014,C2006,2000,2025-01-23,2025-01-27,2025-01-26,EUR,147869.96,29573.99,A1,600200,CC1050,,ZN14,,"Consulting services",CAPEX-2026,"Project milestone payment"
INV-2025-02534,V1003,C2006,2000,2025-05-18,2025-05-18,2025-05-20,JPY,321931.72,32193.17,A2,700100,CC2030,PC4000,,PO-87250,"Recruitment costs",PROJECT-BETA,"Credit note adjustment"
INV-2025-02535,V1004,C2008,1000,2025-05-31,2025-06-05,2025-05-31,CAD,481599.63,72239.94,V3,600100,CC2010,PC2002,ZN30,PO-88644,"Building repairs",PROJECT-ZETA,"Progress billing"
INV-2025-02536,V1012,C2005,3000,2025-01-30,2025-02-04,2025-02-02,SGD,209515.08,41903.02,A1,500300,CC1010,PC2001,,PO-84929,"Data centre costs 2025-01",HR-ONBOARD,"Retainer fee"
INV-2025-02537,V1001,C2001,1000,2025-08-01,2025-08-05,2025-08-02,USD,497231.48,99446.30,V3,600100,CC2030,PC2000,ZN30,PO-91974,"Waste disposal 2025-08",PROJECT-GAMMA,"Project milestone payment"
INV-2026-02538,V1012,C2008,1000,2026-01-31,2026-02-05,2026-02-01,JPY,65691.61,13138.32,A2,500200,CC1040,,,PO-90066,"Research materials",PROJECT-BETA,"Project milestone payment"
INV-2025-02539,V1009,C2015,4000,2025-11-21,2025-11-22,2025-11-23,USD,470864.67,0.00,V0,600200,CC2010,PC2001,ZN90,PO-85946,"Elevator servicing",IT-REFRESH,"Standard order"
INV-2026-02540,V1015,C2013,4000,2026-01-31,2026-02-04,2026-02-01,JPY,113800.51,17070.08,V3,500300,CC1020,PC3000,ZB01,PO-87260,"Travel expenses",PROJECT-THETA,"Phase 1 delivery"
INV-2025-02541,V1010,C2004,2000,2025-08-24,2025-08-26,2025-08-24,AUD,95435.99,0.00,V0,700200,CC1020,PC3000,ZN14,PO-85059,"Security services",CAPEX-2026,"Monthly service fee"
INV-2026-02542,V1003,C2014,1000,2026-03-23,2026-03-24,2026-03-26,CAD,427883.23,85576.65,A2,500200,CC2030,PC4000,ZN90,PO-82956,"Professional services 2026-03",HR-ONBOARD,"Annual renewal"
INV-2025-02543,V1001,C2007,3000,2025-11-09,2025-11-14,2025-11-10,USD,57116.80,0.00,V0,500100,CC1030,PC2003,ZN90,PO-92664,"Recruitment costs",PROJECT-ALPHA,"Final settlement"
INV-2026-02544,V1019,C2014,3000,2026-01-07,2026-01-07,2026-01-07,JPY,258415.81,38762.37,V1,500200,CC1010,PC4000,ZN45,PO-90190,"Water treatment",CAPEX-2026,"Retainer fee"
INV-2026-01479,V1015,C2014,3000,2025-09-27,2025-10-01,2025-09-30,SGD,448200.69,22410.03,A2,500300,CC1050,PC2000,,PO-82249,"Building repairs 2025-09",OPEX-2026,"Monthly service fee"
INV-2025-02546,V1009,C2002,4000,2025-01-27,2025-01-31,2025-01-27,EUR,163890.93,8194.55,A1,500300,CC1050,PC2002,,PO-99085,"Parking management",PROJECT-GAMMA,"Quality inspection"
INV-2026-02547,V1002,C2013,3000,2026-01-17,2026-01-22,2026-01-17,CAD,453782.18,90756.44,A2,400300,CC2010,PC4000,ZN60,PO-99808,"Data centre costs",PROJECT-ZETA,"Advance payment"
